# name,All planet names,Lists,mass,mass_error_min,mass_error_max,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,Radius [Rjup] lowerlimit,Radius [Rjup] upperlimit,orbital_period,orbital_period_error_min,orbital_period_error_max,Orbital period [days] lowerlimit,Orbital period [days] upperlimit,eccentricity,eccentricity_error_min,eccentricity_error_max,Eccentricity lowerlimit,Eccentricity upperlimit,temp_calculated,Equilibrium temperature [K] errorminus,Equilibrium temperature [K] errorplus,Equilibrium temperature [K] lowerlimit,Equilibrium temperature [K] upperlimit,detection_type,discovered,updated,source (xml)
11 Com b,11comb,,19.4,1.5,1.5,1.5,1.5,,,,,,326.03,0.32,0.32,,,0.231,0.005,0.005,,,,,,,,radialvelocity,2008,2015-08-21,
11 Oph b,11ophb,,21.0,3.0,3.0,3.0,3.0,,,,,,730000.0,365000.0,365000.0,,,,,,,,,,,,,imaging,2007,2016-02-26,
11 UMi b,11umib,,10.5,2.47,2.47,2.47,2.47,,,,,,516.22,3.25,3.25,,,0.08,0.03,0.03,,,,,,,,radialvelocity,2009,2009-08-13,
14 And b,14andb,,5.33,0.57,0.57,0.57,0.57,,,,,,185.84,0.23,0.23,,,0.0,,,,,,,,,,radialvelocity,2008,2014-08-27,
14 Her b,14herb,,4.64,0.19,0.19,0.19,0.19,,,,,,1773.4,2.5,2.5,,,0.369,0.005,0.005,,,,,,,,radialvelocity,2002,2014-08-27,
16 Cyg B b,16cygbb,,1.68,0.07,0.07,0.07,0.07,,,,,,799.5,0.6,0.6,,,0.689,0.011,0.011,,,,,,,,radialvelocity,1996,2014-08-27,
18 Del b,18delb,,10.3,,,,,,,,,,993.3,3.2,3.2,,,0.08,0.01,0.01,,,,,,,,radialvelocity,2008,2014-08-27,
1RXS 1609 b,1rxs1609b,,14.0,3.0,2.0,3.0,2.0,1.7,,,,,,,,,,,,,,,,,,,,imaging,2008,2015-03-05,
1SWASP J1407 b,1swaspj1407b,,20.0,6.0,6.0,6.0,6.0,,,,,,3725.0,900.0,900.0,,,,,,,,,,,,,primarytransit,2012,2014-10-29,
24 Sex b,24sexb,,1.99,0.38,0.26,0.38,0.26,,,,,,452.8,4.5,2.1,,,0.09,0.06,0.14,,,,,,,,radialvelocity,2010,2014-05-23,
24 Sex c,24sexc,,0.86,0.22,0.35,0.22,0.35,,,,,,883.0,14.0,32.0,,,0.29,0.09,0.16,,,,,,,,radialvelocity,2010,2014-05-23,
2M 0103-55 (AB) b,2m0103-55(ab)b,,13.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,imaging,2013,2016-02-23,
2M 0122-24 b,2m0122-24b,,20.0,7.0,7.0,7.0,7.0,1.0,0.2,0.2,,,,,,,,,,,,,,,,,,imaging,2013,2016-02-23,
2M 0219-39 b,2m0219-39b,,13.9,1.1,1.1,1.1,1.1,1.44,0.03,0.03,,,,,,,,,,,,,,,,,,imaging,2015,2016-02-23,
2M 0441+23 b,2m0441+23b,,7.5,2.5,2.5,2.5,2.5,,,,,,,,,,,,,,,,,,,,,imaging,2010,2016-02-23,
2M 0746+20 b,2m0746+20b,,30.0,25.0,25.0,25.0,25.0,0.97,0.06,0.06,,,4640.0,25.0,25.0,,,0.487,0.003,0.003,,,,,,,,imaging,2010,2012-01-20,
2M 1207-39 b,2m1207-39b,,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,imaging,2004,2016-02-23,
2M 1938+46 b,2m1938+46b,,1.9,0.1,0.1,0.1,0.1,,,,,,416.0,2.0,2.0,,,,,,,,,,,,,pulsar,2015,2016-05-06,
2M 2140+16 b,2m2140+16b,,20.0,20.0,80.0,20.0,80.0,0.92,0.39,0.39,,,7340.0,584.0,584.0,,,0.26,0.06,0.06,,,,,,,,imaging,2010,2012-01-20,
2M 2206-20 b,2m2206-20b,,30.0,20.0,70.0,20.0,70.0,1.3,0.18,0.18,,,8686.0,69.4,69.4,,,0.0,,,,,,,,,,imaging,2010,2012-01-20,
2M 2236+4751 b,2m2236+4751b,,12.5,1.5,1.5,1.5,1.5,,,,,,,,,,,,,,,,,,,,,imaging,2016,2016-11-03,
2M J2126-81 b,2mj2126-81b,,13.3,1.7,1.7,1.7,1.7,,,,,,,,,,,,,,,,,,,,,imaging,2016,2016-02-23,
30 Ari B b,30aribb,,9.88,0.94,0.94,0.94,0.94,,,,,,335.1,2.5,2.5,,,0.289,0.092,0.092,,,,,,,,radialvelocity,2009,2009-11-27,
38 Vir b,38virb,,4.51,0.5,0.5,0.5,0.5,4.51,0.5,0.5,,,825.9,6.2,6.2,,,0.03,0.04,0.04,,,,,,,,primarytransit,2016,2016-09-10,
4 Uma b,4umab,,7.1,1.6,1.6,1.6,1.6,,,,,,269.3,1.96,1.96,,,0.432,0.024,0.024,,,,,,,,radialvelocity,2007,2014-08-27,
42 Dra b,42drab,,3.88,0.85,0.85,0.85,0.85,,,,,,479.1,6.2,6.2,,,0.38,0.06,0.06,,,,,,,,radialvelocity,2009,2009-03-23,
47 Uma b,47umab,,2.53,0.06,0.07,0.06,0.07,,,,,,1078.0,2.0,2.0,,,0.032,0.014,0.014,,,,,,,,radialvelocity,1996,2014-08-27,
